TYPE,SUBJECT,START_DT,END_DT,OWNER_ID,REG_DT,COMP_DT,STATUS,PLANT,CAR_MAKER,PROJECT,M_CODE,Process,POINT_OUT,ROOT_CAUSE_ANALYSIS,COUNTER_MEASURE,URL
Project,2026-SAIC Audi-B10,2026-04-24,2026-04-24,81706381,2026-04-26,2026-04-29,Complete,JP,SAIC Audi,B10,1035055,Inspection,X-RAY人员资质卡及检测标准未现场放置,1.人力资源素质矩阵由专人保管进行确认，未拿到现场: 2.轮胎机器检查标准未放到现场,1.人力资源素质矩阵放置现 场已完成 2.轮胎机器检查标准放置现 场已完成,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=50587EB21CC58878E0633C071FCAC0EB
Project,2026-SAIC Audi-B10,2026-04-24,2026-04-24,81706381,2026-04-26,2026-04-29,Complete,JP,SAIC Audi,B10,1035055,Logistics,均一性车间，轮胎堆放混乱,轮胎未及时入库,1.白班对在库轮胎每日进行。确认及时入库 2.现堆放轮胎已入库完成,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=50587EB21CC58878E0633C071FCAC0EB
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Incoming,' → Improvement required for storage area before incoming inspection after raw material arrival   → Inspected and waiting items are currently mixed in the field,-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Mixing,"'→ Identification required for trolley storing weighed bags  → Individual box identification is managed, but trolley-level information is missing, making traceability difficult",-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Mixing,'→ Need to enhance check sheets with brief troubleshooting and history  → More detailed process required to ensure proper understanding by next shift operators,-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Extrusion,'→ Tread's shoulder area and weights are not matching with the specification.  → More detailed process required to ensure proper understanding by next shift operators,-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
System,2026-VW-01,2026-04-28,2026-04-30,21300315,2026-04-16,2026-05-12,Complete,MP,VW,-,-,Mixing,'→ Delay in VDA 6.3-based supplier audit cycle for some suppliers  → Customer-specific requirements not fully reflected in quality agreements between some suppliers and HK,-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4F8EE7F4257BC30CE0633C071FCAF0F7
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Incoming,The storage area for textile cord in the raw material warehouse has steps (which pose a safety risk),~,The steps and the connection area have been cordoned off with warning lines.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Calendaring,How to ensure the actual performance testing of textile cord tension (currently only steel cord has tensile testing),The textile cord tension is now confirmed according to the display value of the equipment.,1. Develop textile cord tension correction methods. 2. Conduct a precision inspection of the extrusion tension once a month and keep a record.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Calendaring,The temperature of the TCU in the control plan is inconsistent with the actual situation on site.,The control plan is not updated in a timely manner.,Update the control plan to ensure that information is conveyed promptly and accurately.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Extrusion,Establish a maintenance plan for the DIE (such as the rust prevention cycle),"Current management method: Before use, maintain the DIE.","Maintenance plan established, records are kept.",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Extrusion,The values recorded in the second weighing scale inspection form have remained unchanged (six data points need to be tested and the maximum value recorded),"The inspection form requires two types of weight checks. For each weight, three values need to be tested and the maximum value recorded. However, the employees' records are not clear.","1. Line leader provided one-on-one training to the employees of this position, and also conducted comprehensive education for all staff. 2. Line leader conducted random checks.",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Extrusion,"In the MCIS system, how do the optical bands and cameras ensure the capabilities (the current inspection based on standard components is not comprehensive; it is recommended to conduct MSA analysis)",The online equipment has only undergone periodic verification of standard components so far.,Conduct a CMK (Device Capability Index) analysis on the online devices to ensure that it meets the requirement of &gt; 1.67.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Extrusion,"The extruder currently only manages the temperature. It is necessary to identify other process parameters (such as screw speed, etc.) and simultaneously update the FMEA and CP.","During on-site operations, the weight of the rubber strips was ensured, and the speed was not set to the standard.","After discussions among the Technology Department, Production Department and Quality Management Department, the extruder will have its speed management added in addition to the temperature management. The FMEA and CP will be updated after the technical standards are issued.",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Inspection,"After converting the second harmonic RFV2H &amp; conicity, there are differences from the standard of BMW (RFV2H: BMW 35, after conversion, 3.6 * 9.8 = 35.28; conicity: BMW ±40, after conversion, 40.18)",~,"1. Process Optimization: 1) The IOP standards for the trial production are sent to QA (keep two decimal places, and the third digit is rounded off) 2) For the mass-produced products, QA makes adjustments",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Building,It is inconvenient to confirm the pressure by using the rear compression pressure gauge (the green mark indicates the range).,~,The pressure gauge position has been moved (for easy viewing). The pressure range is indicated by color bands. Other machines have been confirmed by the team.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Curing,"Vulcanizing in factory 1, the GT is manually placed on the receiving platform. If the GT drops, a complete processing procedure should be sorted out.",The production department's schedule management has not clearly defined the management process.,Develop G/T landing process.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Curing,"GT positioning at Factory 3 (Define the position yourself, currently being implemented at Factory 1)","The G/T warehouse automatically descends, and the joint position changes randomly.","Visual marking production on Loader, manually corrected by the position of the joint on the stage (for BMW specifications).",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,"NA6 20,21inch PZS Audit",2026-03-25,2026-03-27,81705174,2026-03-27,2026-04-14,Complete,JP,BMW,NA6,1032310,Incoming,Supplier management requires a lead department to coordinate supplier management (currently QA/CTC/SH Purchase T),The verification process for suppliers needs to be improved.,"If the quality issue of the supplied goods is improved, after verification and improvement by the quality control team, the result is confirmed as OK. The cooperation record will be reported to the purchasing team for confirmation of the result, and the problem will be closed.",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4DFCEE5710D77D02E0633C071FCA30A3
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,工作区域 监控未全覆盖,重要部位监控未到位,在原有2处通道监控的基础上，再增加5处工作 区域监控（包含C/C及BELT Drum作业区）,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,所有裁刀寿命均需验证，确定更换周期， 日常状态点检（确认切割状态）,割刀状态受控不足,设定作业日记增加：割刀切割面状态点检,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,设备点检表中：   轮胎规格没有写，内容不清晰（如新旧标准无说明）,需规格明确，内容清晰,修改 设定作业日记，按照该设备类型选定 相应基准：“S/W宽 -（10~30）” 修改 审定作业日记，增加规格一栏填写相应规格,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,TRF (转接器）气缸位移量作业日记增加；holder 圆跳检查增加（频次不超过1周),Hold气缸行程点检需体现,设定作业日记增加：转接器Hold气缸行程 转接器Hold抓手圆跳精度点检周期 ：1次/周,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,成型机胎面处 增加蛇形状态 监控,对附着后TD进行蛇形探测,T/D 断差 在线 检测 追加 -》开发厂家 检讨中,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,GT 上胎面接头不好（实际是正常状态，不能有接头开裂 现象）,GT 胎面接头优化,胎面接头允许-2~0mm(满足技术标准),https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Curing,硫化工序 loader抓手螺栓检查确保（不掉落），loader上重要部位检讨增加扭矩扳手,螺栓要确保不掉落,1次/月点检开展  扭矩扳手及实施部位设备T检讨中,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Curing,B/D (胶囊）Coating 涂抹（人工）如何确保 均匀性 (涂抹效果如何确认）,Coating 涂抹均匀保障,1.在B/D表面倒入适量Coating剂自中间向下再向上涂布 2.涂布完了，涂抹均匀性检查，涂抹并记录 （表面无堆积）,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Extrusion,胎面色线2条-&gt;1条 ，便于工厂管理，方案确立后 通报 理想,量产色线  1条化,向后量产品色线，待OE技术T 和厂家及工厂 确定后再通报 （已将方案通报待结果反馈后作用）,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Incoming,来料需要进行批量测试管理实施 （海绵 入库 检查（密度/拉伸强度/伸长率等 项目/ 胶水 厂家 提供 试片强度 测试）,要强化,"1.批次别 COA 判定，系统自动判定, COA Data Trend 管理 2.物理室对海绵 入库检查 重量 长度 宽度 角度 拉伸强度 伸长率 密度 压缩硬度 确保品质稳定",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Inspection,静音绵轮胎生产时， 手动Foam 撕裂 情况评价方法及频率制定并管理,加入检验需要,判定标准设立  -》Foam 残留高度3mm↑占比 60%↑  每次再开时海绵撕裂确认  量产时 1次/周 确认记录,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,试验时需要对生产过程工艺记录并固定管理,试验时的参数记录先后参照使用,试验时的参数记录先后参照使用,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Sealant,Foam 轮胎生产时 Laser 等异常时 处理方式 检讨/  压合工装 完善 日程 确认后通报 理想,异常处理流程完善 &amp; 压合工装改善,1.Laser 异常时停机，通报修理 参照指导书确认处理 2.压合工装改善中，预计4月底,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Test,静音棉脱落台架评价方案制定并反馈（低气压/高低温/内部污染/Cleat方向包含必须）,无室内标准,邀请邮件已发送，待韩国检讨回复,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,工作区域 监控未全覆盖,重要部位监控未到位,在原有2处通道监控的基础上，再增加5处工作 区域监控（包含C/C及BELT Drum作业区）,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,胎面接头-3~0，标准宽泛，建议检查基准加严,需要要加严,按照技术 基准 胎面接头 中间：0~-2mm,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,所有裁刀寿命均需验证，确定更换周期， 日常状态点检（确认切割状态）,割刀状态受控不足,设定作业日记增加：割刀切割面状态点检,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Extrusion,胎面胶有 焦烧 颗粒，胎面橡胶需要  密炼时进行 改善 优化,橡胶表面状态不好,新开发橡胶，混炼优化 1.混炼温度稳定性：RPM和Ram pressure 设定 2.实绩与显示温度测定，确保满足技术标准,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,割刀加热温度范围不合理（检讨设定区间，现在是150℃↓）,温控区间合需理化,根据成型Belt割刀 交替作业指导书，修改割刀温度基准 为“100~150℃”，更新设定作业日记（H364特殊管理）,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Building,设备点检表中：   轮胎规格没有写，内容不清晰（如新旧标准无说明）,需规格明确，内容清晰,修改 设定作业日记，按照该设备类型选定 相应基准：“S/W宽 -（10~30）” 修改 审定作业日记，增加规格一栏填写相应规格,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Curing,B/D (胶囊）Coating 涂抹（人工）如何确保 均匀性 (涂抹效果如何确认）,Coating 涂抹均匀保障,1.在B/D表面倒入适量Coating剂自中间向下再向上涂布 2.涂布完了，涂抹均匀性检查，涂抹并记录 （表面无堆积）,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Extrusion,胎面色线2条-&gt;1条 ，便于工厂管理，方案确立后 通报 理想,量产色线  1条化,向后量产品色线，待OE技术T 和厂家及工厂 确定后再通报 （已将方案通报待结果反馈后作用）,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Incoming,来料需要进行批量测试管理实施 （海绵 入库 检查（密度/拉伸强度/伸长率等 项目/ 胶水 厂家 提供 试片强度 测试）,要强化,"1.批次别 COA 判定，系统自动判定, COA Data Trend 管理 2.物理室对海绵 入库检查 重量 长度 宽度 角度 拉伸强度 伸长率 密度 压缩硬度 确保品质稳定",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Inspection,静音绵轮胎生产时， 手动Foam 撕裂 情况评价方法及频率制定并管理,加入检验需要,判定标准设立  -》Foam 残留高度3mm↑占比 60%↑  每次再开时海绵撕裂确认  量产时 1次/周 确认记录,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Test,静音棉脱落台架评价方案制定并反馈（低气压/高低温/内部污染/Cleat方向包含必须）,无室内标准,邀请邮件已发送，待韩国检讨回复,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Test,试验轮胎需送样韩国进行高速均一性检测（6条轮胎，3月20日反馈）,oem要求,轮胎送付韩国，3月20日反馈实验结果,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Design,磨耗测试中花纹沟深度测试间隔短促（建议2000~3000Km测定一次，与理想开发人员协商）,oem要求,预想2000~3000Km测定一次，与理想开发人员协商中,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,System,4月底之前完成PPAP签字,oem要求,OE技术T 提前2周邀请，用于确保纳期前完成，小组共同促进，4月底前可完成,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,Test,高速均一性设备导入时间确认并反馈,oem要求,2027.1季度增设完成,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,System,Foam (美世嘉）/Glue (浙江东腾）部分问题整改不到位，需继续完善,oem要求,3月初将审核员指导意见反馈给东腾和美世嘉，两家供应商对零件图纸/控制计划等文件进行再完善，韩泰SQE每周跟踪确认一次，另外敦促东腾品质/技术人员补充尽快完成,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-理想-X14-01 （oe maker 显示错误，m-code 1038147 实际为 理想 x14）,2026-02-24,2026-02-25,80021227,2026-03-04,2026-03-18,Complete,JP,BYD,X14,1038147,System,提供美世嘉/东腾胶水各项性能参数的过程能力，或者提供近半年以来海绵拉伸率、拉断强度，胶水拉断强度、拉伸率、固化时间等实测值；,oem要求,与 业体确认，3月12可以反馈,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C2CD71EBD1C0193E0633C071FCA8658
Project,2026-Ford-P702-01,2026-03-03,2026-03-03,20200228,2026-03-03,2026-04-03,Complete,KP,Ford,P702,1024247,Extrusion,Die heating temp. CP 스펙은 120℃ +/-20℃ 이나 실제 Oven temp 는 97.9℃로 미달,실제 관리 방법 대비 CP 업데이트 필요,CP 업데이트,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=4C15E3EC57405136E0633C071FCA84A4
