DOC_NO,PLANT,PURPOSE,SUBJECT,STATUS,PROGRESS,REQUESTER,REG_DATE,COMP_DATE,URL,CHANGE_ITEM,CHANGE_CONTENT,MTL
MANA-DOC-2026-00005,IP,Improve Quality,Request Spec change for SC Improve (Renault Sandero 205/60R16 LK12),Complete,Complete,21200452,2026-01-09,2026-03-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00005,Profile,SC risk Position Gauge +0.5mm,1
MANA-DOC-2026-00005,IP,Improve Quality,Request Spec change for SC Improve (Renault Sandero 205/60R16 LK12),Complete,Complete,21200452,2026-01-09,2026-03-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00005,Building Set,BDC 1917 → 1920,1
MANA-DOC-2026-00005,IP,Improve Quality,Request Spec change for SC Improve (Renault Sandero 205/60R16 LK12),Complete,Complete,21200452,2026-01-09,2026-03-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00005,I/L,1.0/0.5 → 1.1/0.5,1
MANA-DOC-2026-00004,JP,Improve Quality,JP）Tesla Model Y 1032938 LS改善,Reject(Final Approval),Complete,81703216,2026-01-06,2026-01-07,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00004,Curing,硫化方式：78AH637→78MP625,1
MANA-DOC-2026-00001,null,The others,VWA Tavascan project 20&21inch,Saved,On-going,81705634,2026-01-05,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00001,Mold,"The speed index changed from ""T"" to ""H""",0
MANA-DOC-2026-00000,IP,Prevent nonconformity,"[IP] OE Mitsubishi Xpander 205/55R17V K125 - 1027962, Request to Spec Change Curing Bladder",Complete,Complete,60000518,2026-01-02,2026-03-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00000,Curing,Curing Bladder Spec Change due to BWB NCF Improvement (BE0145→BE16AP),1
MANA-DOC-2025-00207,IP,Prevent nonconformity,"[IP] OE Mitsubishi Xpander 1027962 K125 205/55R17V, Request to Change Spec Bladder Curing",Reject(Request),Complete,60000518,2025-12-29,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00207,Curing,Bladder spec change for BWB improvement (BE0145→BE16AP),1
MANA-DOC-2025-00208,JP,Improve manufaturing process,JP)Leap C11 GOC适正邀请（1035082）,Complete,Complete,81703393,2025-12-29,2026-01-05,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00208,Building Set,255/45R20V K127E CL G/T GOC适正：2224±5 -> 2232±5,1
MANA-DOC-2025-00206,JP,Improve Productivity,"JP）Toyota 825B 1026752 硫化升温 生产性向上(生产性效果 13,400 本/年)",Complete,Complete,81703216,2025-12-25,2026-01-12,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00206,Curing,硫化方式：68AH697→78AH631,1
MANA-DOC-2025-00205,JP,The others,"VW T-roc 20inch mass production_ fix Building M/X, not applied JLB tention control https://egqms.hankooktech.com/MAIN/main.html#",Complete,Complete,21200020,2025-12-19,2026-01-20,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00205,Building Set,"Fix the building M/C to H324 & Not applied JLB tension control (Prevent R&H issue from VW, discussed with JP)Tech team, DQA, China OE Qaulity team and EU 1 prj), Spec will not be changed.",1
MANA-DOC-2025-00200,null,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00200,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,3
MANA-DOC-2025-00199,KP,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00199,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,55
MANA-DOC-2025-00199,DP,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00199,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,12
MANA-DOC-2025-00200,HP,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00200,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,10
MANA-DOC-2025-00200,JP,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00200,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,85
MANA-DOC-2025-00200,CP,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00200,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,28
MANA-DOC-2025-00202,null,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00202,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,1
MANA-DOC-2025-00201,MP,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00201,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,113
MANA-DOC-2025-00204,KP,Improve Quality,KP 245/70R19.5 18PR AH35 BSW Set Pos 최적화,Complete,Complete,21601364,2025-12-15,2026-01-26,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00204,etc,BSW Set Pos US233 → US223 변경 (BSW Profile 변경사항 없음 / Set Pos 최적화에 따라 PA Width 886 → 866mm 변경),1
MANA-DOC-2025-00199,null,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00199,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,4
MANA-DOC-2025-00203,TP,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00203,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,5
MANA-DOC-2025-00202,IP,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00202,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,16
MANA-DOC-2025-00201,null,Cost Optimization,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,Reject(Final Approval),Complete,20900190,2025-12-15,2025-12-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00201,etc,PCR Belt Topping Gauge 최적화_1x2(0.30)SHT 19&24EPI 1.04mm → 0.95mm,3
MANA-DOC-2025-00198,MP,Improve Quality,1028824 195/50R17H XL W462 EW AUS & BSH ncf prevent specification change request,Complete,Complete,71607863,2025-12-10,2025-12-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00198,Curing,Curing temperature change,1
MANA-DOC-2025-00198,MP,Improve Quality,1028824 195/50R17H XL W462 EW AUS & BSH ncf prevent specification change request,Complete,Complete,71607863,2025-12-10,2025-12-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00198,Building Set,Pre-assembly width modify,1
MANA-DOC-2025-00198,MP,Improve Quality,1028824 195/50R17H XL W462 EW AUS & BSH ncf prevent specification change request,Complete,Complete,71607863,2025-12-10,2025-12-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00198,Profile,Sidewall gauge modify,1
MANA-DOC-2025-00198,MP,Improve Quality,1028824 195/50R17H XL W462 EW AUS & BSH ncf prevent specification change request,Complete,Complete,71607863,2025-12-10,2025-12-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00198,Profile,Tread gauge modify,1
MANA-DOC-2025-00198,MP,Improve Quality,1028824 195/50R17H XL W462 EW AUS & BSH ncf prevent specification change request,Complete,Complete,71607863,2025-12-10,2025-12-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00198,C/C,Carcass width modify,1
MANA-DOC-2025-00196,JP,Prevent nonconformity,(Toyota 260B Corola+Toyota 115D Corolla+Toyota 031D Sienna) 3EA Belt Sepa (Bare Steel wire) improvment: #1 I/L Ga. 0.9/1.0mm→1.1mm,Complete,Complete,81704948,2025-12-09,2025-12-15,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00196,I/L,3EA #1 I/L Ga. 0.9mm or 1.0mm → 1.1mm,3
MANA-DOC-2025-00197,MP,Improve Quality,1022601 285/30R22W XL W320 EA  AUT ncf prevent specification change request,Complete,Complete,71607863,2025-12-09,2025-12-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00197,Profile,Tread gauge modify,1
MANA-DOC-2025-00195,CP,Prevent nonconformity,CP 255/70R22.5 AH37 subtread compoud 还原变更(U73→U71),Complete,Complete,81201241,2025-12-09,2025-12-15,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00195,Compound,subtread compoud 还原，橡胶code 变更,1
MANA-DOC-2025-00192,CP,Improve Quality,CP 255/70R22.5 AH37 SUBTREAD  compoud  还原变更（U73→U71),Reject(Request),Complete,81201241,2025-12-08,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00192,Compound,橡胶Code变更（U73→U71)，实际橡胶未变,1
MANA-DOC-2025-00193,IP,Prevent nonconformity,[IP] OE Mitsubishi Xpander: 1027962 - 205/55R17V K125 Request to Change Spec Bladder Curing,Reject(Request),Complete,60000518,2025-12-08,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00193,Curing,Curing bladder spec change to improve BWB issue (BE0145 to BE16AP).,1
MANA-DOC-2025-00191,JP,Improve Productivity,JP）Beijing Auto 1029859 高温化检讨 硫化生产性向上(生产性效果985本/年),Complete,Complete,81703216,2025-12-05,2026-01-07,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00191,Curing,硫化方式：68AH738→78MP708,1
MANA-DOC-2025-00190,JP,Prevent nonconformity,Tesla 3规格 Glue 胶条及重量变更,Reject(Final Approval),Complete,80501022,2025-12-04,2025-12-16,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00190,Foam,1.8*8 →2.0*10；2.1*6→2.0*10；2.0*8→2.0*10,3
MANA-DOC-2025-00189,IP,Prevent nonconformity,"[IP] OE Mitsubishi Xpander 1027962 K125 205/55R17V, Request to Change Spec Bladder Curing",Reject(Request),Complete,60000518,2025-12-02,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00189,Curing,Bladder spec change for BWB improvement (BE0145→BE16AP),1
MANA-DOC-2025-00187,HP,Improve Quality,"650R16 F19  LBCKHK (2022054, KMC PU 1.2t) Bead Sepa 개선 요청",Under Verification,On-going,21600115,2025-12-01,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00187,C/C,2차 C/C 폭 -5mm,1
MANA-DOC-2025-00187,HP,Improve Quality,"650R16 F19  LBCKHK (2022054, KMC PU 1.2t) Bead Sepa 개선 요청",Under Verification,On-going,21600115,2025-12-01,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00187,Profile,Bead Base부 Rim Cushion Gauge +0.5mm,1
MANA-DOC-2025-00185,IP,Improve Productivity,"[OE] Request for Renault XJI Curing Condition change approval (195/55R16, 185/65R15)",Complete,Complete,21200452,2025-11-27,2025-12-02,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00185,etc,2 Size Curing Condition change (58DJ → 60KF),2
MANA-DOC-2025-00184,JP,Improve Productivity,"JP）VW Arona 1021896 高温化检讨 硫化生产性向上(生产性效果 2,747本/年)",Complete,Complete,81703216,2025-11-26,2026-01-07,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00184,Curing,硫化方式：68AH641→78MP611,1
MANA-DOC-2025-00182,MP,Improve Quality,1023887 205/55R17V XL W320 EA   AUS ncf prevent specification change request,Complete,Complete,70810877,2025-11-20,2025-12-12,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00182,Profile,SW width and gauge modify,1
MANA-DOC-2025-00183,KP,Prevent nonconformity,"255/35R21W XL IH01A LBQHK (1038576, Tesla Y OPAL 21"") LI 부적합 개선 요청",Reject(Final Approval),Complete,21602365,2025-11-20,2026-01-27,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00183,Curing,가류 B/D BJ17BU → BJ12BP 변경 (LI 개선),1
MANA-DOC-2025-00181,HP,Prevent nonconformity,长城19B01 225/55R19V  04K127A  LBCGHK（KT1026958）硫化时间 4M变更 承认邀请,Reject(Request),Complete,81301951,2025-11-19,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00181,Curing,null,1
MANA-DOC-2025-00180,IP,Prevent nonconformity,Request Bladder Code change for SC Improve (Renault XJI 205/60R16 LK12),Complete,Complete,21200452,2025-11-17,2025-11-21,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00180,Curing,Bladder Code change (BD26AN → BD37AI),1
MANA-DOC-2025-00179,HP,Improve Productivity,175/55R16H  IH61（KT1035243）4M变更[硫化Code：58DJ953（CE17X15） →  68DH750（CE02H12）]承认邀请,Reject(Request),Complete,81301951,2025-11-17,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00179,Curing,null,1
MANA-DOC-2025-00178,CP,Improve Quality,FAW VW  NCS NF 205-55R17H H318 1032614 GC改善底胶厚度变更,Complete,Complete,81703346,2025-11-14,2025-11-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00178,Profile,胎面底胶口型变更,1
MANA-DOC-2025-00177,null,Improve Quality,KP TBR - 12R22.5 18 AH51 LB-HK (3003863) STW 품질 이슈 개선 S/W 폭 변경 승인 요청,Under Verification,On-going,21600406,2025-11-11,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00177,Profile,S/W 폭 -5mm(중량 -0.07%↓),1
MANA-DOC-2025-00174,DP,Prevent nonconformity,"[Nonconformity] KIA(RAY)_165/60R14H H318 LBH HK _R8H,SC개선",Reject(Final Approval),Complete,21603090,2025-11-11,2026-02-25,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00174,Profile,Width -5mm &  Gauge↑,1
MANA-DOC-2025-00175,KP,Improve Quality,"Tesla Model Y OPAL 21"" 전/후륜 FCD 개선 요청",Complete,Complete,21500066,2025-11-11,2026-03-04,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00175,C/C,C/C 폭 상향(1차 카카스 폭 + 5mm),2
MANA-DOC-2025-00174,DP,Prevent nonconformity,"[Nonconformity] KIA(RAY)_165/60R14H H318 LBH HK _R8H,SC개선",Reject(Final Approval),Complete,21603090,2025-11-11,2026-02-25,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00174,Building Set,+2mm,1
MANA-DOC-2025-00174,DP,Prevent nonconformity,"[Nonconformity] KIA(RAY)_165/60R14H H318 LBH HK _R8H,SC개선",Reject(Final Approval),Complete,21603090,2025-11-11,2026-02-25,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00174,Curing,BC21AI →BC20AI,1
MANA-DOC-2025-00176,KP,Prevent nonconformity,235/55R19V XL IH01A A(KT1037494) HMC MQ4 HEV LP 개선,Complete,Complete,21500066,2025-11-11,2025-11-19,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00176,I/L,I/L Ga' 0.9/0.5 → 1.1/0.5 상향,1
MANA-DOC-2025-00174,DP,Prevent nonconformity,"[Nonconformity] KIA(RAY)_165/60R14H H318 LBH HK _R8H,SC개선",Reject(Final Approval),Complete,21603090,2025-11-11,2026-02-25,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00174,Building Set,Belt Drum Circumference (B.D.C) -10mm,1
MANA-DOC-2025-00172,JP,Improve Quality, Foam 胶条宽度变更邀请(8EA)  ,Complete,Complete,80501022,2025-11-10,2025-11-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00172,Foam,2.0*7 →2.0*8  重量上升,8
MANA-DOC-2025-00173,JP,Improve manufaturing process,"JP) FAW-Audi Q5 NF 19"" Screw 4->3变更 (CHM P50->U35) 压出生产性向上",Complete,Complete,81704948,2025-11-10,2025-11-17,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00173,Profile,235/55R19W XL K137A  Tread CHM rubber P50->U35,1
MANA-DOC-2025-00171,DP,Improve Productivity,생산성 향상을 위한 승온 요청 (63KF → 68AH) :: HMC CN7 N,Complete,Complete,21604358,2025-11-08,2025-12-08,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00171,Curing,63KF → 68AH 가류온도 및 코드 변경 ,1
MANA-DOC-2025-00170,KP,Improve Quality,"Tesla Model Y OPAL 21"" FCD 개선 요청",Reject(Final Approval),Complete,21500066,2025-11-08,2025-11-11,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00170,C/C,C/C 폭 상향 (1차 카카스 폭 +5mm),1
MANA-DOC-2025-00169,JP,Improve Productivity,JP）BYD SA2HRU 1037277 KF硫化方式 外温升高 硫化生产性向上(临时变更使用2个月),Complete,Complete,81703216,2025-11-06,2025-11-10,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00169,Curing,硫化方式：60KF835→63KF745,1
MANA-DOC-2025-00168,CP,Prevent nonconformity,tavascan 255/45R20T IK01A SC改善,Complete,Complete,81101843,2025-11-03,2026-01-20,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00168,Profile,胎侧厚度增加,1
MANA-DOC-2025-00168,CP,Prevent nonconformity,tavascan 255/45R20T IK01A SC改善,Complete,Complete,81101843,2025-11-03,2026-01-20,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00168,Profile,胎面全宽+4mm，厚度变更,1
MANA-DOC-2025-00166,CP,Prevent nonconformity,tavascan 255/50R19T IK01A SC改善,Under Verification,On-going,81101843,2025-10-31,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00166,Profile,胎面全宽+4mm，厚度变更,1
MANA-DOC-2025-00167,CP,Prevent nonconformity,tavascan 255/45R20T IK01A SC改善,Reject(Request),Complete,81101843,2025-10-31,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00167,Profile,胎侧厚度0.2~0.5mm变更,1
