DOC_NO,PLANT,PURPOSE,SUBJECT,STATUS,PROGRESS,REQUESTER,REG_DATE,COMP_DATE,URL,CHANGE_ITEM,CHANGE_CONTENT,MTL
MANA-DOC-2026-00111,HP,Improve Productivity,BYD SC2EM（215/60R17H   IK41A）硫化Code变更邀请,Complete,Complete,81100266,2026-05-07,2026-05-08,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00111,Curing,硫化Code：63DH1116 → 68KF870,1
MANA-DOC-2026-00108,KP,Improve Quality,KP TBR - 275/70R22.5 16 AL10(3001903) STW 품질 이슈 개선 S/W 폭 변경 승인 요청,Saved,On-going,21604696,2026-05-06,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00108,Profile,S/W 폭 -5mm(중량 -0.11%,1
MANA-DOC-2026-00110,KP,Improve Quality,KP TBR - 275/70R22.5 16 DH31(3003378) STW 품질 이슈 개선 S/W 폭 변경 승인 요청,Under Verification,On-going,21604696,2026-05-06,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00110,Profile,S/W 폭 -5mm(중량-0.11%),1
MANA-DOC-2026-00109,KP,Improve Quality,KP TBR - 285/70R19.5 16 AH35(3002717) STW 품질 이슈 개선 S/W 폭 변경 승인 요청,Under Verification,On-going,21604696,2026-05-06,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00109,Profile,S/W 폭 -5mm(중량 -0.07%),1
MANA-DOC-2026-00107,JP,Prevent nonconformity,FAW-VW Tayron 18inch JLB Step width change,Complete,Complete,21604720,2026-05-06,2026-05-08,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00107,Belt/JLB Width,JF50505B Step width  30-80-55-80-30 → 20-97-21-97-20 ,1
MANA-DOC-2026-00106,MP,Prevent nonconformity,OE B/D change (Benz) -1020731,Waiting for Reception,On-going,71608215,2026-04-30,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00106,Curing,B/D change BE16AP → BE0145,1
MANA-DOC-2026-00105,IP,Prevent nonconformity,[IP] - OE RIVIAN RPV request to improve LRC (Spec S/W Ga. Up + additional Ventline),Waiting for Reception,On-going,61600224,2026-04-28,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00105,Mold,"Add Vent Line from Rim Line A to AVH Line 1, 2, 11 ",1
MANA-DOC-2026-00105,IP,Prevent nonconformity,[IP] - OE RIVIAN RPV request to improve LRC (Spec S/W Ga. Up + additional Ventline),Waiting for Reception,On-going,61600224,2026-04-28,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00105,Profile,Spec S/W Ga. Up (0.3; 0.5; 0.3) → based on VMS Simmulation Best Result),1
MANA-DOC-2026-00104,null,Improve Quality,"KP TBR - 245/70R19.5 16 AH35 (3002746), DH35(3003716) CSCD 적정화를 위한 S-CF Set Pos 변경 승인 요청",Complete,Complete,21600406,2026-04-27,2026-04-28,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00104,etc,Steel Chafer Set Pos -2mm,1
MANA-DOC-2026-00104,KP,Improve Quality,"KP TBR - 245/70R19.5 16 AH35 (3002746), DH35(3003716) CSCD 적정화를 위한 S-CF Set Pos 변경 승인 요청",Complete,Complete,21600406,2026-04-27,2026-04-28,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00104,etc,Steel Chafer Set Pos -2mm,1
MANA-DOC-2026-00103,TP,Prevent nonconformity,Nissan Frontier LI 개선 요청,Under Verification,On-going,21100393,2026-04-25,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00103,Curing,BE44AI → BE45AI로 변경 요청드립니다. ,1
MANA-DOC-2026-00102,CP,Improve Productivity,CP) Anhui-VW Tavascan 1034085 255/40R21T XL IK01A 硫化方式变更 硫化生产性向上（生产性效果6271本/年）,Waiting for Reception,On-going,81703346,2026-04-24,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00102,Curing,58DJ1111-60KF961,1
MANA-DOC-2026-00101,JP,Improve Quality,China FAW-VW 공급 규격 Groove Crack 개선 위한 4M 변경 신청,Saved,On-going,21600369,2026-04-23,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00101,Mold,"Groove Crack 개선 위한 Groove R 확대(R3→R7, R3) 및 센터 블럭 Tie-bar 추가",5
MANA-DOC-2026-00101,CP,Improve Quality,China FAW-VW 공급 규격 Groove Crack 개선 위한 4M 변경 신청,Saved,On-going,21600369,2026-04-23,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00101,Mold,"Groove Crack 개선 위한 Groove R 확대(R3→R7, R3) 및 센터 블럭 Tie-bar 추가",2
